DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,13,12911.16,13263.4,13008,12099.5,2007.93,2039.5,2039.3,1958.6,1091.08,1699.4,1275.5,1195.2,3750.04,3787.7,3718.5,3576.2,3359.96,3170.2,3316.9,2973.4,1509.67,1374.5,1433.3,1329.1,1192.48,1192.1,1224.5,1067,13059.52,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
11/29/2025,14,13909.2,13602.8,14231.3,13245.5,1950.52,2049.1,2073,1998.9,1021.16,1649.2,912.7,853.7,3835.65,3938.2,3848.4,3725.4,4263.27,3111.3,4135.5,3754.3,1334.22,1477,1479.3,1363.2,1504.38,1378,1782.4,1550,14444.88,N
